Source,Target,Weight,Type
174,0,0.024581006,undirected
174,1,0.024581006,undirected
174,3,0.053631285,undirected
174,4,0.0033519553,undirected
174,7,0.02122905,undirected
174,8,0.0078212291,undirected
174,9,0.027932961,undirected
174,10,0.0011173184,undirected
174,11,0.027932961,undirected
174,13,0.063687151,undirected
174,15,0.053631285,undirected
174,18,0.0022346369,undirected
174,19,0.0044692737,undirected
174,21,0.058100559,undirected
174,23,0.039106145,undirected
175,0,0.022801303,undirected
175,1,0.0010857763,undirected
175,2,0.0010857763,undirected
175,3,0.033659066,undirected
175,4,0.026058632,undirected
175,5,0.024972856,undirected
175,7,0.040173724,undirected
175,8,0.010857763,undirected
